                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
       -//-       -//-       -//-       -//-   x -3.6719e-01 9.2187e-01   4.2597e+00 -3.5938e-01  9.2187e-01   4.3250e+00        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.6719e-01  9.1406e-01   4.2986e+00  3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.6719e-01  9.2968e-01   4.2900e+00        -//-  7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.6328e-01  9.2187e-01   4.2837e+00        -//-  3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7110e-01  9.2187e-01   4.2528e+00 -3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   x -3.7110e-01 9.2187e-01   4.2528e+00 -3.7500e-01  9.2187e-01   4.2630e+00        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7110e-01  9.2578e-01   4.2587e+00 -1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7110e-01  9.1797e-01   4.2641e+00        -//- -3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7305e-01  9.2187e-01   4.2557e+00        -//- -1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.6914e-01  9.2187e-01   4.2541e+00  1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7110e-01  9.1992e-01   4.2563e+00  9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7110e-01  9.2382e-01   4.2536e+00        -//-  1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7012e-01  9.2187e-01   4.2529e+00        -//-  9.7651e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7207e-01  9.2187e-01   4.2537e+00 -9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7110e-01  9.2285e-01   4.2526e+00 -4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y -3.7110e-01 9.2285e-01   4.2526e+00 -3.7110e-01  9.2382e-01   4.2536e+00        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7158e-01  9.2285e-01   4.2529e+00        -//-  4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7061e-01  9.2285e-01   4.2526e+00  4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   x -3.7061e-01 9.2285e-01 d-6.4477e-05 -3.7012e-01  9.2285e-01   4.2528e+00        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7061e-01  9.2334e-01   4.2529e+00  2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7061e-01  9.2236e-01   4.2525e+00        -//- -4.8825e-04 
       -//-       -//-       -//-       -//-   y -3.7061e-01 9.2236e-01   4.2525e+00 -3.7061e-01  9.2187e-01   4.2527e+00        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7036e-01  9.2236e-01   4.2525e+00        -//- -2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7085e-01  9.2236e-01 d-6.3598e-05 -2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7061e-01  9.2212e-01 d+6.4185e-05 -1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7061e-01  9.2260e-01 d-6.4070e-05        -//-  2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7073e-01  9.2236e-01 d-9.3586e-06        -//-  1.2206e-04 
       -//-       -//-       -//-       -//-   x -3.7073e-01 9.2236e-01 d-7.5183e-06 -3.7085e-01  9.2236e-01 d+9.2431e-06        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2248e-01 d-1.7174e-05 -6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y -3.7073e-01 9.2248e-01 d-7.9313e-06 -3.7073e-01  9.2260e-01 d+9.0128e-06        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7079e-01  9.2248e-01 d-6.6752e-06        -//-  6.1031e-05 
