                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -5.3242e-02  1.0337e+00   1.8855e+02        -//- -6.2498e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.4491e-02  1.0962e+00   1.8243e+02        -//- -3.1249e-02 
       -//-       -//-       -//-       -//-   x -8.4491e-02 1.0962e+00   1.8243e+02 -1.1574e-01  1.0962e+00   1.8391e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.0650e+00   1.8461e+02 -1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.1275e+00   1.8318e+02        -//-  3.1249e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.0012e-01  1.0962e+00   1.8281e+02        -//-  1.5624e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -6.8866e-02  1.0962e+00   1.8278e+02  1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.1119e+00   1.8244e+02  7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.0806e+00   1.8316e+02        -//- -1.5624e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -7.6679e-02  1.0962e+00   1.8252e+02        -//- -7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -9.2303e-02  1.0962e+00   1.8253e+02 -7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.0884e+00   1.8271e+02 -3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.4491e-02  1.1040e+00   1.8234e+02        -//-  7.8122e-03 
       -//-       -//-       -//-       -//-   y -8.4491e-02 1.1040e+00   1.8234e+02 -8.4491e-02  1.1119e+00   1.8244e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8397e-02  1.1040e+00   1.8233e+02        -//-  3.9061e-03 
       -//-       -//-       -//-       -//-   x -8.8397e-02 1.1040e+00   1.8233e+02 -9.2303e-02  1.1040e+00   1.8236e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1079e+00   1.8234e+02 -1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1001e+00   1.8237e+02        -//- -3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -9.0350e-02  1.1040e+00   1.8234e+02        -//- -1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.6444e-02  1.1040e+00   1.8233e+02  1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1021e+00   1.8235e+02  9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1060e+00   1.8233e+02        -//-  1.9530e-03 
       -//-       -//-       -//-       -//-   y -8.8397e-02 1.1060e+00 d-3.5359e-03 -8.8397e-02  1.1079e+00   1.8234e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.7420e-02  1.1060e+00   1.8233e+02        -//-  9.7651e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.9373e-02  1.1060e+00 d+5.1710e-04 -9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1070e+00 d+8.6429e-04 -4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1050e+00 d-2.2016e-03        -//- -9.7651e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8885e-02  1.1060e+00 d+1.4830e-04        -//- -4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.7909e-02  1.1060e+00 d-2.5843e-04  4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8397e-02  1.1055e+00 d-4.1554e-04  2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y -8.8397e-02 1.1055e+00 d-1.9153e-04 -8.8397e-02  1.1050e+00 d+5.2565e-04        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8153e-02  1.1055e+00 d-6.5018e-04        -//- -2.4412e-04 
       -//-       -//-       -//-       -//-   x -8.8153e-02 1.1055e+00 d-1.2453e-04 -8.7909e-02  1.1055e+00 d+5.2038e-05        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8153e-02  1.1053e+00 d+4.7030e-05  1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8153e-02  1.1058e+00 d-1.8849e-05        -//-  2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8031e-02  1.1055e+00 d-7.6271e-05        -//-  1.2206e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8275e-02  1.1055e+00 d+3.6245e-05 -1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8153e-02  1.1056e+00 d-2.2497e-05 -6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8153e-02  1.1054e+00 d+9.4288e-06        -//- -1.2206e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8214e-02  1.1055e+00 d-1.2546e-05        -//- -6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8092e-02  1.1055e+00 d-1.8122e-05  6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   x -8.8092e-02 1.1055e+00 d-3.5434e-06 -8.8031e-02  1.1055e+00 d+7.4918e-06        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8092e-02  1.1054e+00 d-4.1649e-06  3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8092e-02  1.1056e+00 d+4.5513e-06        -//-  6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8061e-02  1.1055e+00 d-5.5118e-06        -//-  3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8122e-02  1.1055e+00 d-1.9742e-06 -3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8092e-02  1.1055e+00 d+2.1461e-06 -1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8092e-02  1.1055e+00 d-2.2756e-06        -//- -3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.8107e-02  1.1055e+00 d-4.1155e-07        -//- -1.5257e-05 
       -//-       -//-       -//-       -//-   x -8.8107e-02 1.1055e+00 d-1.4871e-07 -8.8122e-02  1.1055e+00 d+5.4098e-07        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02  1.1055e+00 d-4.7014e-07 -7.6287e-06        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02  1.1055e+00 d+5.5864e-07        -//-  1.5257e-05 
-8.8107e-02 1.1055e+00 9.6844e-01 1.0000e+03   -           -          -            -           -           -            -           -           - 
       -//-       -//-       -//-       -//-   x -8.8107e-02 1.1055e+00   1.0539e+03 -8.8107e-02  1.1055e+00   1.0539e+03  2.0000e+00  2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.9119e+00  1.1055e+00   9.5465e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.0881e+00  1.1055e+00   9.0474e+04 -2.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02  3.1055e+00   1.5727e+04 -1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02 -8.9449e-01   7.3420e+04        -//- -2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.0881e+00  1.1055e+00   1.7699e+04        -//- -1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  9.1189e-01  1.1055e+00   1.7639e+03  1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02  1.0551e-01   1.4373e+04  5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -8.8107e-02  2.1055e+00   2.4083e+03        -//-  1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  4.1189e-01  1.1055e+00   5.6727e+02        -//-  5.0000e-01 
       -//-       -//-       -//-       -//-   x  4.1189e-01 1.1055e+00   5.6727e+02  9.1188e-01  1.1055e+00   1.7639e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  4.1189e-01  1.6055e+00   1.3424e+03  2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  4.1189e-01  6.0551e-01   2.0408e+03        -//- -5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  6.6188e-01  1.1055e+00   1.0290e+03        -//- -2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.6189e-01  1.1055e+00   5.0053e+02 -2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   x  1.6189e-01 1.1055e+00   5.0053e+02 -8.8104e-02  1.1055e+00   1.0539e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.6189e-01  8.5551e-01   1.1996e+03 -1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.6189e-01  1.3555e+00   4.7071e+02        -//-  2.5000e-01 
       -//-       -//-       -//-       -//-   y  1.6189e-01 1.3555e+00   4.7071e+02  1.6189e-01  1.6055e+00   8.8155e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  3.6894e-02  1.3555e+00   4.5214e+02        -//-  1.2500e-01 
       -//-       -//-       -//-       -//-   x  3.6894e-02 1.3555e+00   4.5214e+02 -8.8103e-02  1.3555e+00   6.0708e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  3.6894e-02  1.4805e+00   5.3762e+02 -6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  3.6894e-02  1.2305e+00   4.9266e+02        -//- -1.2500e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.5604e-02  1.3555e+00   5.0530e+02        -//- -6.2498e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  9.9393e-02  1.3555e+00   4.4225e+02  6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   x  9.9393e-02 1.3555e+00   4.4225e+02  1.6189e-01  1.3555e+00   4.7071e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  9.9393e-02  1.2930e+00   4.2245e+02  3.1249e-02        -//- 
       -//-       -//-       -//-       -//-   y  9.9393e-02 1.2930e+00   4.2245e+02  9.9393e-02  1.2305e+00   4.3501e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.3064e-01  1.2930e+00   4.2097e+02        -//- -3.1249e-02 
       -//-       -//-       -//-       -//-   x  1.3064e-01 1.2930e+00   4.2097e+02  1.6189e-01  1.2930e+00   4.2872e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.3064e-01  1.2618e+00   4.1714e+02  1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y  1.3064e-01 1.2618e+00   4.1714e+02  1.3064e-01  1.2305e+00   4.2156e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4627e-01  1.2618e+00   4.1699e+02        -//- -1.5624e-02 
       -//-       -//-       -//-       -//-   x  1.4627e-01 1.2618e+00   4.1699e+02  1.6189e-01  1.2618e+00   4.1912e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2461e+00   4.1666e+02  7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y  1.4627e-01 1.2461e+00   4.1666e+02  1.4627e-01  1.2305e+00   4.1843e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.5408e-01  1.2461e+00   4.1671e+02        -//- -7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.3845e-01  1.2461e+00   4.1719e+02 -7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2383e+00   4.1728e+02 -3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2539e+00   4.1657e+02        -//-  7.8122e-03 
       -//-       -//-       -//-       -//-   y  1.4627e-01 1.2539e+00   4.1657e+02  1.4627e-01  1.2618e+00   4.1699e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4236e-01  1.2539e+00   4.1658e+02        -//-  3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.5017e-01  1.2539e+00   4.1671e+02  3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2578e+00   4.1672e+02  1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2500e+00   4.1655e+02        -//- -3.9061e-03 
       -//-       -//-       -//-       -//-   y  1.4627e-01 1.2500e+00   4.1655e+02  1.4627e-01  1.2461e+00   4.1666e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4822e-01  1.2500e+00   4.1656e+02        -//- -1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4431e-01  1.2500e+00   4.1658e+02 -1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2481e+00   4.1659e+02 -9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4627e-01  1.2520e+00   4.1655e+02        -//-  1.9530e-03 
       -//-       -//-       -//-       -//-   y  1.4627e-01 1.2520e+00 d-7.2239e-03  1.4627e-01  1.2539e+00   4.1657e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4529e-01  1.2520e+00   4.1655e+02        -//-  9.7651e-04 
       -//-       -//-       -//-       -//-   x  1.4529e-01 1.2520e+00 d-7.4907e-04  1.4431e-01  1.2520e+00 d+8.1627e-03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4529e-01  1.2530e+00 d-5.4099e-03 -4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4529e-01  1.2510e+00 d+2.5896e-03        -//- -9.7651e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4480e-01  1.2520e+00 d-2.3761e-03        -//- -4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4578e-01  1.2520e+00   4.1654e+02  4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   x  1.4578e-01 1.2520e+00   4.1654e+02  1.4627e-01  1.2520e+00   4.1655e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4578e-01  1.2515e+00   4.1654e+02  2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4578e-01  1.2525e+00   4.1655e+02        -//-  4.8825e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4602e-01  1.2520e+00   4.1654e+02        -//-  2.4412e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4553e-01  1.2520e+00 d-3.7478e-04 -2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4578e-01  1.2522e+00 d+5.6123e-04 -1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4578e-01  1.2517e+00 d-7.9836e-04        -//- -2.4412e-04 
       -//-       -//-       -//-       -//-   y  1.4578e-01 1.2517e+00 d-1.4630e-04  1.4578e-01  1.2515e+00 d+3.5965e-04        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4566e-01  1.2517e+00 d-2.0321e-04        -//- -1.2206e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4590e-01  1.2517e+00 d-1.7376e-04  1.2206e-04        -//- 
       -//-       -//-       -//-       -//-   x  1.4590e-01 1.2517e+00 d-1.7318e-05  1.4602e-01  1.2517e+00 d+1.2178e-04        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4590e-01  1.2516e+00 d-9.5516e-05  6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4590e-01  1.2519e+00 d+7.3954e-05        -//-  1.2206e-04 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4596e-01  1.2517e+00 d-5.6711e-05        -//-  6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4584e-01  1.2517e+00 d-5.2233e-05 -6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   x  1.4584e-01 1.2517e+00 d-8.7298e-06  1.4578e-01  1.2517e+00 d+2.6047e-05        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4584e-01  1.2518e+00 d-1.4323e-05 -3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4584e-01  1.2517e+00 d+8.1704e-06        -//- -6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4581e-01  1.2517e+00 d-1.1219e-05        -//- -3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4587e-01  1.2517e+00 d-8.6583e-06  3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4584e-01  1.2517e+00 d+5.9769e-06  1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4584e-01  1.2518e+00 d-4.0848e-06        -//-  3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.4585e-01  1.2517e+00 d-2.9878e-06        -//-  1.5257e-05 
       -//-       -//-       -//-       -//-   x  1.4585e-01 1.2517e+00 d-1.0778e-06  1.4587e-01  1.2517e+00 d+1.0957e-06        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  1.2518e+00 d+2.8213e-07  7.6287e-06        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  1.2517e+00 d-7.7952e-07        -//- -1.5257e-05 
 1.4585e-01 1.2517e+00 8.3780e-02 1.0000e+04   -           -          -            -           -           -            -           -           - 
       -//-       -//-       -//-       -//-   x  1.4585e-01 1.2517e+00   1.1706e+03  1.4585e-01  1.2517e+00   1.1706e+03  2.0000e+00  2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.1459e+00  1.2517e+00   2.0931e+04        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.8541e+00  1.2517e+00   5.9634e+05 -2.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  3.2517e+00   3.4435e+04 -1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01 -7.4825e-01   5.3058e+05        -//- -2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -8.5414e-01  1.2517e+00   9.0132e+04        -//- -1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.1458e+00  1.2517e+00   3.1014e+03  1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  2.5175e-01   7.7818e+04  5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  2.2517e+00   3.6764e+03        -//-  1.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  6.4585e-01  1.2517e+00   1.1848e+03        -//-  5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.5414e-01  1.2517e+00   1.9510e+04 -5.0000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  1.7517e+00   1.2425e+03 -2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  1.4585e-01  7.5175e-01   1.6740e+04        -//- -5.0000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -1.0414e-01  1.2517e+00   6.2214e+03        -//- -2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  3.9585e-01  1.2517e+00   6.6057e+02  2.5000e-01        -//- 
       -//-       -//-       -//-       -//-   x  3.9585e-01 1.2517e+00   6.6057e+02  6.4585e-01  1.2517e+00   1.1848e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  3.9585e-01  1.0018e+00   1.7623e+03  1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  3.9585e-01  1.5017e+00   1.0615e+03        -//-  2.5000e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  5.2085e-01  1.2517e+00   8.9442e+02        -//-  1.2500e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.7085e-01  1.2517e+00   5.5935e+02 -1.2500e-01        -//- 
       -//-       -//-       -//-       -//-   x  2.7085e-01 1.2517e+00   5.5935e+02  1.4586e-01  1.2517e+00   1.1706e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.7085e-01  1.3767e+00   6.2531e+02 -6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.7085e-01  1.1267e+00   1.2380e+03        -//- -1.2500e-01 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.0835e-01  1.2517e+00   7.4740e+02        -//- -6.2498e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  3.3335e-01  1.2517e+00   5.6258e+02  6.2498e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.7085e-01  1.1892e+00   7.7586e+02  3.1249e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.7085e-01  1.3142e+00   5.4401e+02        -//-  6.2498e-02 
       -//-       -//-       -//-       -//-   y  2.7085e-01 1.3142e+00   5.4401e+02  2.7085e-01  1.3767e+00   6.2531e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  3.0210e-01  1.3142e+00   5.8842e+02        -//-  3.1249e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3960e-01  1.3142e+00   5.2575e+02 -3.1249e-02        -//- 
       -//-       -//-       -//-       -//-   x  2.3960e-01 1.3142e+00   5.2575e+02  2.0835e-01  1.3142e+00   5.5723e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3960e-01  1.3455e+00   5.4048e+02 -1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3960e-01  1.2830e+00   5.5287e+02        -//- -3.1249e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.2398e-01  1.3142e+00   5.3493e+02        -//- -1.5624e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.5523e-01  1.3142e+00   5.2901e+02  1.5624e-02        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3960e-01  1.2986e+00   5.3378e+02  7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3960e-01  1.3299e+00   5.2819e+02        -//-  1.5624e-02 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.4742e-01  1.3142e+00   5.2587e+02        -//-  7.8122e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3179e-01  1.3142e+00   5.2874e+02 -7.8122e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3960e-01  1.3221e+00   5.2570e+02 -3.9061e-03        -//- 
       -//-       -//-       -//-       -//-   y  2.3960e-01 1.3221e+00   5.2570e+02  2.3960e-01  1.3299e+00   5.2819e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3570e-01  1.3221e+00   5.2550e+02        -//-  3.9061e-03 
       -//-       -//-       -//-       -//-   x  2.3570e-01 1.3221e+00   5.2550e+02  2.3179e-01  1.3221e+00   5.2608e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3570e-01  1.3260e+00   5.2578e+02 -1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3570e-01  1.3182e+00   5.2585e+02        -//- -3.9061e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3374e-01  1.3221e+00   5.2569e+02        -//- -1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3765e-01  1.3221e+00   5.2550e+02  1.9530e-03        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3570e-01  1.3201e+00   5.2560e+02  9.7651e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3570e-01  1.3240e+00   5.2556e+02        -//-  1.9530e-03 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3667e-01  1.3221e+00   5.2548e+02        -//-  9.7651e-04 
       -//-       -//-       -//-       -//-   x  2.3667e-01 1.3221e+00   5.2548e+02  2.3765e-01  1.3221e+00   5.2550e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3667e-01  1.3230e+00   5.2553e+02  4.8825e-04        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3667e-01  1.3211e+00   5.2546e+02        -//- -9.7651e-04 
       -//-       -//-       -//-       -//-   y  2.3667e-01 1.3211e+00   5.2546e+02  2.3667e-01  1.3201e+00   5.2549e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  2.3716e-01  1.3211e+00   5.2545e+02        -//- -4.8825e-04 
       -//-       -//-       -//-       -//-   x  2.3716e-01 1.3211e+00   5.2545e+02  2.3765e-01  1.3211e+00 d-9.6681e-04        -//-        -//- 
       -//-       -//-       -//-       -//-   x  2.3765e-01 1.3211e+00 d-9.6681e-04  2.3814e-01  1.3211e+00   5.2546e+02        -//-        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//-  2.3765e-01  1.3206e+00   5.2544e+02  2.4412e-04        -//- 
       -//-       -//-       -//-       -//-   y  2.3765e-01 1.3206e+00   5.2544e+02  2.3765e-01  1.3201e+00 d-1.4133e-03        -//-        -//- 
       -//-       -//-       -//-       -//-   y  2.3765e-01 1.3201e+00 d-1.4133e-03  2.3765e-01  1.3196e+00   5.2545e+02        -//-        -//- 
