                                       Coordinate descent method                                        
dir     c_x          c_y        f(c)         n_x          n_y         f(n)         h_x          h_y      
  x         -//-        -//-        -//- -3.80565e-01         -//- 1.06401e-02  4.88252e-04         -//- 
  y         -//-        -//-        -//- -3.81053e-01  9.13767e-01 1.93111e-02  2.44125e-04         -//- 
  y         -//-        -//-        -//-         -//-  9.14744e-01 5.47065e-03         -//-  4.88252e-04 
  y         -//- 9.14744e-01 5.47065e-03         -//-  9.15232e-01 1.57427e-02         -//-         -//- 
  x         -//-        -//-        -//- -3.80809e-01  9.14744e-01 4.26658e-03         -//-  2.44125e-04 
  x -3.80809e-01        -//- 4.26658e-03 -3.80565e-01         -//- 8.44940e-03         -//-         -//- 
  y         -//-        -//-        -//- -3.80809e-01  9.14988e-01 9.72923e-03  1.22062e-04         -//- 
  y         -//-        -//-        -//-         -//-  9.14500e-01 2.58578e-03         -//- -2.44125e-04 
  y         -//- 9.14500e-01 2.58578e-03         -//-  9.14256e-01 7.74926e-03         -//-         -//- 
  x         -//-        -//-        -//- -3.80687e-01  9.14500e-01 5.01606e-03         -//- -1.22062e-04 
  x         -//-        -//-        -//- -3.80931e-01         -//- 2.10601e-03 -1.22062e-04         -//- 
  x -3.80931e-01        -//- 2.10601e-03 -3.81053e-01         -//- 4.29037e-03         -//-         -//- 
  y         -//-        -//-        -//- -3.80931e-01  9.14378e-01 4.79696e-03 -6.10306e-05         -//- 
  y         -//-        -//-        -//-         -//-  9.14622e-01 1.44222e-03         -//-  1.22062e-04 
  y         -//- 9.14622e-01 1.44222e-03         -//-  9.14744e-01 3.99396e-03         -//-         -//- 
  x         -//-        -//-        -//- -3.80992e-01  9.14622e-01 2.65308e-03         -//-  6.10306e-05 
  x         -//-        -//-        -//- -3.80870e-01         -//- 1.08510e-03  6.10306e-05         -//- 
  x -3.80870e-01        -//- 1.08510e-03 -3.80809e-01         -//- 2.08116e-03         -//-         -//- 
  y         -//-        -//-        -//- -3.80870e-01  9.14683e-01 2.46666e-03  3.05151e-05         -//- 
  y         -//-        -//-        -//-         -//-  9.14561e-01 5.71999e-04         -//- -6.10306e-05 
  y         -//- 9.14561e-01 5.71999e-04         -//-  9.14500e-01 1.87958e-03         -//-         -//- 
  x         -//-        -//-        -//- -3.80840e-01  9.14561e-01 1.18193e-03         -//- -3.05151e-05 
  x         -//-        -//-        -//- -3.80901e-01         -//- 5.20985e-04 -3.05151e-05         -//- 
  x -3.80901e-01        -//- 5.20985e-04 -3.80931e-01         -//- 1.10890e-03         -//-         -//- 
  y         -//-        -//-        -//- -3.80901e-01  9.14530e-01 1.16932e-03 -1.52575e-05         -//- 
  y         -//-        -//-        -//-         -//-  9.14591e-01 4.35326e-04         -//-  3.05151e-05 
  y         -//- 9.14591e-01 4.35326e-04         -//-  9.14622e-01 1.05908e-03         -//-         -//- 
  x         -//-        -//-        -//- -3.80916e-01  9.14591e-01 7.36132e-04         -//-  1.52575e-05 
  x         -//-        -//-        -//- -3.80885e-01         -//- 3.01055e-04  1.52575e-05         -//- 
  x -3.80885e-01        -//- 3.01055e-04 -3.80870e-01         -//- 4.95243e-04         -//-         -//- 
  y         -//-        -//-        -//- -3.80885e-01  9.14607e-01 6.55698e-04  7.62871e-06         -//- 
  y         -//-        -//-        -//-         -//-  9.14576e-01 6.95851e-05         -//- -1.52575e-05 
  y         -//- 9.14576e-01 6.95851e-05         -//-  9.14561e-01 4.15393e-04         -//-         -//- 
                                        Results                                         
         Method                x            y      calls to f(x, y) calls to grad f(x,y) 
Coordinate descent method -3.80885e-01 9.14576e-01               95                    0 
