                                                             Step splitting method                                                              
   cur_x        cur_y      f(cur)    grad f(cur) x grad f(cur) y    next_x       next_y      f(next)   grad f(next) x grad f(next) y    alpha    
-3.00000e-01 8.00000e-01 3.07293e+00   1.28776e+01  -1.60277e+01 -3.00000e-01  8.00000e-01 3.07293e+00    1.28776e+01   -1.60277e+01 0.00000e+00 
        -//-        -//-        -//-          -//-          -//- -3.52267e-01  8.79149e-01 1.04259e+00           -//-           -//- 1.95312e-03 
        -//-        -//-        -//-          -//-          -//- -3.66586e-01  8.96875e-01 5.25974e-01           -//-           -//- 9.76562e-04 
        -//-        -//-        -//-          -//-          -//- -3.73746e-01  9.05739e-01 2.63902e-01           -//-           -//- 4.88281e-04 
        -//-        -//-        -//-          -//-          -//- -3.77326e-01  9.10170e-01 1.31917e-01           -//-           -//- 2.44141e-04 
        -//-        -//-        -//-          -//-          -//- -3.79116e-01  9.12386e-01 6.56867e-02           -//-           -//- 1.22070e-04 
        -//-        -//-        -//-          -//-          -//- -3.80011e-01  9.13494e-01 3.25119e-02           -//-           -//- 6.10352e-05 
        -//-        -//-        -//-          -//-          -//- -3.80459e-01  9.14048e-01 1.59096e-02           -//-           -//- 3.05176e-05 
        -//-        -//-        -//-          -//-          -//- -3.80682e-01  9.14325e-01 7.60469e-03           -//-           -//- 1.52588e-05 
        -//-        -//-        -//-          -//-          -//- -3.80794e-01  9.14463e-01 3.45132e-03           -//-           -//- 7.62939e-06 
        -//-        -//-        -//-          -//-          -//- -3.80850e-01  9.14533e-01 1.37440e-03           -//-           -//- 3.81470e-06 
        -//-        -//-        -//-          -//-          -//- -3.80878e-01  9.14567e-01 3.35877e-04           -//-           -//- 1.90735e-06 
        -//-        -//-        -//-          -//-          -//- -3.80892e-01  9.14585e-01 1.83398e-04           -//-           -//- 9.53674e-07 
        -//-        -//-        -//-          -//-          -//-         -//-         -//-        -//-   -1.46639e+01    1.81511e+01 2.22538e-05 
-3.80892e-01 9.14585e-01 1.83398e-04  -1.46639e+01   1.81511e+01  1.42830e+01 -1.72365e+01 6.93821e+03           -//-           -//- 1.00000e+00 
        -//-        -//-        -//-          -//-          -//-  6.95106e+00 -8.16098e+00 1.64334e+03           -//-           -//- 5.00000e-01 
        -//-        -//-        -//-          -//-          -//-  3.28508e+00 -3.62320e+00 3.70431e+02           -//-           -//- 2.50000e-01 
        -//-        -//-        -//-          -//-          -//-  1.45210e+00 -1.35431e+00 7.97971e+01           -//-           -//- 1.25000e-01 
        -//-        -//-        -//-          -//-          -//-  5.35602e-01 -2.19860e-01 2.35835e+01           -//-           -//- 6.25000e-02 
        -//-        -//-        -//-          -//-          -//-  7.73549e-02  3.47362e-01 1.27713e+01           -//-           -//- 3.12500e-02 
        -//-        -//-        -//-          -//-          -//- -1.51769e-01  6.30973e-01 7.30603e+00           -//-           -//- 1.56250e-02 
        -//-        -//-        -//-          -//-          -//- -2.66330e-01  7.72779e-01 3.93940e+00           -//-           -//- 7.81250e-03 
        -//-        -//-        -//-          -//-          -//- -3.23611e-01  8.43682e-01 2.04663e+00           -//-           -//- 3.90625e-03 
        -//-        -//-        -//-          -//-          -//- -3.52252e-01  8.79133e-01 1.04307e+00           -//-           -//- 1.95312e-03 
        -//-        -//-        -//-          -//-          -//- -3.66572e-01  8.96859e-01 5.26474e-01           -//-           -//- 9.76562e-04 
        -//-        -//-        -//-          -//-          -//- -3.73732e-01  9.05722e-01 2.64411e-01           -//-           -//- 4.88281e-04 
        -//-        -//-        -//-          -//-          -//- -3.77312e-01  9.10153e-01 1.32431e-01           -//-           -//- 2.44141e-04 
        -//-        -//-        -//-          -//-          -//- -3.79102e-01  9.12369e-01 6.62035e-02           -//-           -//- 1.22070e-04 
        -//-        -//-        -//-          -//-          -//- -3.79997e-01  9.13477e-01 3.30299e-02           -//-           -//- 6.10352e-05 
        -//-        -//-        -//-          -//-          -//- -3.80445e-01  9.14031e-01 1.64282e-02           -//-           -//- 3.05176e-05 
        -//-        -//-        -//-          -//-          -//- -3.80668e-01  9.14308e-01 8.12367e-03           -//-           -//- 1.52588e-05 
        -//-        -//-        -//-          -//-          -//- -3.80780e-01  9.14446e-01 3.97044e-03           -//-           -//- 7.62939e-06 
        -//-        -//-        -//-          -//-          -//- -3.80836e-01  9.14515e-01 1.89360e-03           -//-           -//- 3.81470e-06 
        -//-        -//-        -//-          -//-          -//- -3.80864e-01  9.14550e-01 8.55121e-04           -//-           -//- 1.90735e-06 
